nei1	nei2	nei3	nei4	nei5	nei6	nei7	nei8	nei9	nei10	nei11	nei12	nei13	nei14	nei15	nei16	nei17	nei18
470	160	60	75	282	67	426	628	76	279	56	322	150	63	109	419	54	590
290	87	538	421	107	139	379	110	292	108	289	408	443	157	106	407	159	539
628	470	60	419	75	282	76	422	160	380	590	150	536	54	63	663	56	336
265	17	642	360	513	514	27	9	328	311	310	632	14	557	479	303	463	295
623	626	315	260	266	635	625	325	398	666	317	262	352	206	249	578	135	263
507	358	207	569	571	327	510	448	493	16	134	294	26	531	29	634	516	359
417	314	371	643	313	416	192	312	167	533	509	163	19	462	196	171	170	20
312	416	170	509	19	533	314	20	168	418	462	166	196	415	477	511	369	167
642	265	463	514	460	512	461	644	128	4	566	328	27	603	252	21	513	14
192	171	530	313	371	194	329	129	29	169	531	458	390	163	167	359	417	100
484	285	299	141	297	647	287	467	257	370	243	593	392	406	428	288	645	648
602	126	193	603	461	128	643	644	512	460	511	463	170	9	418	21	252	8
141	484	370	647	299	285	257	645	243	603	631	287	53	406	128	297	33	648
261	328	311	101	259	262	27	566	244	4	135	635	317	352	564	265	28	249
136	301	264	398	555	553	320	263	575	206	251	165	260	625	246	266	144	623
493	507	6	358	294	569	207	571	577	494	327	634	134	510	448	133	516	515
311	632	244	667	4	102	295	261	28	633	265	360	310	101	328	514	352	513
415	478	369	172	166	477	368	565	168	357	189	462	418	509	250	303	51	196
312	509	418	170	416	166	8	168	415	462	369	533	196	511	314	477	565	478
509	168	166	462	416	369	533	415	196	312	565	478	189	8	314	368	418	477
511	512	477	193	252	418	463	170	557	513	479	303	415	642	265	9	360	312
307	111	452	337	572	413	45	356	64	585	240	114	175	652	276	504	607	120
38	610	560	235	241	274	237	42	405	236	436	91	435	347	203	349	40	183
500	604	184	268	229	324	277	188	73	385	558	71	397	499	182	70	234	142
30	545	491	348	598	597	280	587	377	607	599	361	335	588	640	544	62	44
359	169	448	458	327	569	167	571	207	134	531	189	171	565	196	510	462	329
259	328	14	4	265	261	262	566	311	642	9	17	101	563	460	249	360	514
667	295	102	352	635	311	262	17	626	309	14	259	244	666	4	261	495	632
458	531	359	448	169	329	171	327	510	390	129	207	571	167	10	569	530	163
25	545	491	587	377	598	348	607	588	597	280	640	335	361	544	599	121	501
438	372	671	611	548	224	177	386	158	54	364	61	670	529	362	353	160	208
61	221	670	305	589	57	671	353	380	382	422	336	208	218	54	62	372	529
393	482	394	399	302	624	127	258	406	246	556	144	555	648	251	664	323	553
173	204	401	503	145	441	122	363	39	350	345	652	528	120	466	68	148	651
401	204	43	376	441	584	652	350	363	45	173	64	39	434	469	240	346	354
376	350	434	401	43	204	469	608	584	441	559	306	363	239	39	354	227	173
176	403	574	414	202	124	559	573	429	400	306	146	453	239	201	608	434	308
23	241	274	610	236	560	347	435	405	235	42	432	203	91	40	237	183	561
363	441	114	401	64	345	122	652	120	204	173	34	227	145	43	354	350	148
